Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time
XGBoost,0.9100962070109477,0.666214382632293,0.46408317580340264,0.547075208913649,0.9321272281558167,2.4607737064361572
LightGBM,0.9068893066460245,0.6487603305785123,0.44517958412098296,0.5280269058295964,0.9316209622721241,2.2280514240264893
CatBoost,0.9086586309852925,0.6643059490084986,0.44328922495274103,0.5317460317460317,0.9278094678940784,6.415152072906494
NGBoost,0.887316156142873,0.782608695652174,0.05103969754253308,0.09582963620230701,0.8918481959913023,10.87602186203003
